tic	at
ADSK	4595.0000
DCAI	71.0790
DCAI	67.6370
ADP	23734.4000
ADP	25351.7000
ADP	26862.2000
ADP	34238.3000
ADP	30815.5000
ADP	32268.1000
AVHI	590.8600
AVHI	594.7190
AVHI	545.4510
AVHI	409.0560
AVHI	337.8710
AVHI	466.7280
AVY	6035.7000
AVY	5002.8000
AVY	5099.4000
AVY	4972.7000
AVY	5105.3000
AVY	4610.6000
AVT	8200.1300
AVT	6273.5160
AVT	7782.3820
AVT	9905.5690
AVT	10167.8660
AVT	10474.6800
AVP	6074.0000
AVP	6832.7000
AVP	7873.7000
AVP	7735.0000
AVP	7382.5000
AVP	6492.3000
AZZ	354.7150
AZZ	381.9610
AZZ	566.5240
AZZ	606.7750
AZZ	694.2050
AZZ	953.2530
BTI	40276.8070
BTI	43026.8540
BTI	42882.1120
BTI	42134.7900
BTI	44439.1670
BTI	44552.5690
BRT	270.0200
BRT	270.0200
BRT	193.3330
BRT	193.3330
BRT	186.2660
BRT	186.2660
BRT	191.0120
BRT	191.0120
BRT	385.9560
BRT	385.9560
BRT	549.4910
BRT	549.4910
PRSNQ	21.4870
PRSNQ	12.8570
PRSNQ	12.7020
PRSNQ	21.9400
PRSNQ	15.3660
PRSNQ	14.3400
BMI	195.3580
BMI	191.0160
BMI	215.8640
BMI	218.9100
BMI	290.4530
BMI	316.0580
BKR	292.0620
BKR	278.8440
BKR	321.0650
BKR	379.8740
BKR	373.4090
BHI	11861.0000
BHI	11439.0000
BHI	22986.0000
BHI	24847.0000
BHI	26689.0000
BHI	27934.0000
BCPC	154.4740
BCPC	187.8130
BCPC	228.6240
BCPC	271.7170
BCPC	312.5450
BCPC	376.8720
BEZ	2834.1590
BEZ	2651.5370
BWINB	777.7430
BWINB	777.7430
BWINB	851.3150
BWINB	851.3150
BWINB	837.9460
BWINB	837.9460
BWINB	905.2940
BWINB	905.2940
BWINB	983.0240
BWINB	983.0240
BWINB	1072.2700
BWINB	1072.2700
BLL	6368.7000
BLL	6488.3000
BLL	6927.7000
BLL	7284.6000
BLL	7507.1000
BLL	7819.8000
CEG	22284.1000
CEG	23544.4000
CEG	20018.5000
CEG	19412.6000
BPOP	38882.7690
BPOP	38882.7690
BPOP	34736.3250
BPOP	34736.3250
BPOP	38722.9620
BPOP	38722.9620
BPOP	37348.4320
BPOP	37348.4320
BPOP	36507.5350
BPOP	36507.5350
BPOP	35749.3330
BPOP	35749.3330
BOH	10763.4750
BOH	10763.4750
BOH	12414.8270
BOH	12414.8270
BOH	13126.7870
BOH	13126.7870
BOH	13846.3910
BOH	13846.3910
BOH	13728.3720
BOH	13728.3720
BOH	14084.2800
BOH	14084.2800
BTEC	222.6220
BTEC	191.0190
BTEC	222.0370
EMA1.	679.5600
EMA1.	713.9010
EMA1.	738.8340
EMA1.	804.6900
BK	237512.0000
BK	237512.0000
BK	212224.0000
BK	212224.0000
BK	247259.0000
BK	247259.0000
BK	325266.0000
BK	325266.0000
BK	358990.0000
BK	358990.0000
BK	374310.0000
BK	374310.0000
BRE	2991.3290
BRE	2991.3290
BRE	2980.0080
BRE	2980.0080
BRE	3156.2470
BRE	3156.2470
BRE	3352.6210
BRE	3352.6210
BRE	3498.9820
BRE	3498.9820
BRE	3608.8460
BRE	3608.8460
BCR	2665.7000
BCR	2906.9000
BCR	3171.5000
BCR	3931.1000
BCR	4151.3000
BCR	5041.1000
B	1447.6340
B	1351.9900
B	1403.2570
B	1440.3650
B	1868.5960
B	2123.6730
BRN	132.3620
BRN	86.1040
BRN	89.8880
BRN	88.7720
BRN	69.8900
BRN	62.7140
ABX	24161.0000
ABX	27075.0000
ABX	33322.0000
ABX	48884.0000
ABX	47282.0000
ABX	37448.0000
DFZ	67.9430
DFZ	75.0830
DFZ	83.3690
DFZ	115.9790
DFZ	128.2660
DFZ	130.2530
ESTE.1	17.7620
ESTE.1	19.3980
ESTE.1	20.8420
ESTE.1	26.2060
ESTE.1	34.6800
ESTE.1	45.6210
BSET	243.8250
BSET	216.2290
BSET	197.3170
BSET	223.1740
BSET	227.1800
BSET	225.8490
6583B
6583B
6583B
6583B	5086.4000
6583B	5956.8000
BAX	15405.0000
BAX	17354.0000
BAX	17489.0000
BAX	19073.0000
BAX	20390.0000
BAX	25869.0000
BRCOQ	1.7650
BRCOQ	4.4150
BRCOQ	4.7570
BRCOQ	7.6210
AIT	798.7710
AIT	809.3280
AIT	891.5200
AIT	914.9310
AIT	962.1830
AIT	1058.7060

CHSO	14.7180
CHSO	17.1030
BDX	7912.9430
BDX	9304.6240
BDX	9650.6940
BDX	10430.4280
BDX	11360.9090
BDX	12149.0000
BELFB	261.7840
BELFB	245.9460
BELFB	277.1720
BELFB	276.9110
BELFB	275.2180
BELFB	308.0500
4994B	669.4640
4994B	608.0780
4994B	579.0220
VZ	202352.0000
VZ	227251.0000
VZ	220005.0000
VZ	230461.0000
VZ	225222.0000
VZ	274098.0000
BCE	39663.0000
BCE	38050.0000
BCE	39276.0000
BCE	39426.0000
BCE	40968.0000
BCE	45384.0000
BLLI	27.2600
BLLI	22.5530
BLLI	22.6370
BLC	2038.7960
BLC	1584.4610
BLC	1590.3900
BLC	1611.6050
BLC	1499.5920
BMS	2822.3140
BMS	3928.7050
BMS	4285.8310
BMS	4320.4440
BMS	4185.7000
BMS	4110.2000
BNHN	257.1270
BNHN	234.0900
BNHN	220.8820
BNHN	229.4230
BRK.B	267399.0000
BRK.B	267399.0000
BRK.B	297119.0000
BRK.B	297119.0000
BRK.B	372229.0000
BRK.B	372229.0000
BRK.B	392647.0000
BRK.B	392647.0000
BRK.B	427452.0000
BRK.B	427452.0000
BRK.B	484931.0000
BRK.B	484931.0000
BBY	15826.0000
BBY	18302.0000
BBY	17849.0000
BBY	16005.0000
BBY	16787.0000
BBY	14013.0000
BIO	2037.2640
BIO	2535.8530
BIO	3062.7640
BIO	3096.8030
BIO	3436.7530
BIO	3388.7900
SVNTQ	98.2220
SVNTQ	119.0080
SVNTQ	77.6180
SVNTQ	197.1160
SVNTQ	119.2060
5938B	12600.9000
5938B	11969.0000
5938B	11357.0000
5938B	10420.4000
5938B	9794.7000
5938B	9766.6000
3BTEL	6.3350
3BTEL	7.4030
3BTEL	7.2940
SPEX.2	12.2610
SPEX.2	10.1550
SPEX.2	7.0170
SPEX.2	5.6550
SPEX.2	4.7560
NIMU	1.4590
NIMU	2.5360
NIMU	1.6310
NIMU	0.7230
NIMU	0.6160
NIMU	0.8100
3MFLU	8.7200
3MFLU	9.3780
BDK	5183.3000
BDK	5495.2000
BKH	3379.8890
BKH	3317.6980
BKH	3711.5090
BKH	4127.0830
BKH	3729.4710
BKH	3875.1780
LEXPQ	53.3280
HRB	5359.7220
HRB	5234.3180
HRB	5207.9610
HRB	4649.5670
HRB	4537.7790
HRB	4693.5290
ESV	5830.1000
ESV	6747.2000
ESV	7051.5000
ESV	17871.2000
ESV	18565.3000
ESV	19472.9000
BLT	499.6840
BLT	483.5660
BLT	580.8870
BLT	884.5720
BLT	905.2910
BLT	816.3510
BRRE	79.0340
BRRE	72.9590
BRRE	70.2570
BRRE	65.1060
BRRE	50.5710
BRRE	46.0420
BOBE	1147.6480
BOBE	1109.1570
BOBE	1094.3210
BOBE	1065.7770
BOBE	1013.8370
BOBE	1068.3160
BA	53779.0000
BA	62053.0000
BA	68565.0000
BA	79986.0000
BA	88896.0000
BA	92663.0000
OMX	4173.5830
OMX	4069.5310
OMX	4078.9290
OMX	4069.2750
OMX	3784.3150
BOLT.1	61.8670
BOLT.1	70.5240
BOLT.1	74.8210
BOLT.1	87.4390
BOLT.1	82.7140
BOLT.1	83.0860
CDIC	15.5660
RHI	1411.8500
RHI	1283.5350
RHI	1273.9840
RHI	1311.8360
RHI	1381.2710
RHI	1490.2710
0141A	3180.0000
0141A	2973.0000
0141A	3137.0000
0141A	3108.0000
0141A	3337.0000
0141A	2866.0000
NST	8269.4890
NST	8144.7860
NST	7933.9250
NST	8065.3540
RFP	8072.0000
RFP	7112.0000
RFP	7156.0000
RFP	6298.0000
RFP	6324.0000
RFP	5385.0000
REXMY	10522.7560
REXMY	9831.1530
REXMY	9338.3260
REXMY	9514.8590
REXMY	10347.5110
REXMY	8517.3790
ENTP	55.3530
ENTP	59.8440
ENTP	53.0840
BWL.A	44.0570
BWL.A	42.9670
BWL.A	41.4100
BWL.A	40.9180
BWL.A	39.3680
BWL.A	36.7250
WEDC	111.6580
WEDC	111.5970
BNE	480.7490
BNE	460.8740
BRC	1850.5130
BRC	1583.2670
BRC	1746.5310
BRC	1861.5050
BRC	1607.7190
BRC	1438.6830
